"","RMSE","MAE","MAPE","MASE",""
"","RMSE","MAE","MAPE","MASE","WineMakerLoss"
"RF_200_6_5","0.507546796812729","0.3759609375","7.09985695684524","0.589742647058824","68.9090943700397"
"RF_200_6_10","0.515500936593286","0.387746595982143","7.31584650843844","0.608229954481793","68.5174656025605"
"RF_200_6_15","0.522867819522505","0.400003675231019","7.52534818423351","0.627456745460422","71.9695642421195"
"RF_200_6_20","0.521974777705754","0.398161655268724","7.49047317058169","0.624567302382312","71.9248733374202"
"RF_200_7_5","0.509664381501036","0.3778203125","7.14107552083333","0.59265931372549","70.3791276041667"
"RF_200_7_10","0.510914114367199","0.383566375248016","7.23154202761834","0.601672745487084","68.642251730206"
"RF_200_7_15","0.517236011668244","0.392106628744519","7.38984294197143","0.61506922156003","70.3813469396014"
"RF_200_7_20","0.525346024115035","0.40078722482274","7.53556997918395","0.6286858428592","73.8952871164557"
"RF_200_8_5","0.505287692306599","0.373859375","7.06280930679564","0.586446078431373","68.1252053571428"
"RF_200_8_10","0.516118856762592","0.387779005456349","7.30753026457979","0.608280792872705","70.3567529053288"
"RF_200_8_15","0.51543769274285","0.38966241054952","7.33454992955746","0.611235153803169","68.5344679927587"
"RF_200_8_20","0.525682676309516","0.400686407086796","7.53274241318852","0.628527697391053","72.3802272888168"
"RF_200_9_5","0.505161498409","0.37345703125","7.04994587053571","0.585814950980392","66.080494047619"
"RF_200_9_10","0.517432395707164","0.3886734375","7.3384214092321","0.609683823529412","69.2009000436981"
"RF_200_9_15","0.520481676556899","0.39450138060724","7.41970337360432","0.618825695070181","69.3727383975358"
"RF_200_9_20","0.521230930056321","0.39678375540002","7.45593713115236","0.62240589082356","70.4187458772471"
"RF_200_10_5","0.506422589172111","0.376870052083333","7.12294525049603","0.591168709150327","67.7749048859127"
"RF_200_10_10","0.514890660753085","0.385390420386905","7.28138654897723","0.604533992763772","71.5529423008787"
"RF_200_10_15","0.513989128033449","0.390560046550672","7.3554832085026","0.612643210275563","67.9158775935952"
"RF_200_10_20","0.521046319059221","0.394578970304748","7.41823827037245","0.618947404399604","70.2345100435784"
"RF_200_11_5","0.507388416680894","0.374594791666667","7.07351351686508","0.587599673202615","67.2803303571429"
"RF_200_11_10","0.51354950072206","0.38191041046627","7.20915024594908","0.59907515367258","69.9071721230159"
"RF_200_11_15","0.516929109818104","0.390571370166292","7.35267499997522","0.61266097280987","69.6809540169652"
"RF_200_11_20","0.517425081366834","0.392526824348937","7.38683795204212","0.615728351919901","70.124477969123"
"RF_300_2_5","0.508452019225563","0.384233506944445","7.26534412202381","0.602719226579521","72.9023536706349"
"RF_300_2_10","0.515765569183347","0.394897933201058","7.45439864024314","0.619447738354601","75.6279880361867"
"RF_300_2_15","0.522382196240701","0.40348350448741","7.60517212052786","0.632915301156722","75.0503373984646"
"RF_300_2_20","0.530503360166489","0.413675974217982","7.79157566279327","0.648903488969383","76.5752458219157"
"RF_300_3_5","0.511218530642749","0.386025347222222","7.28693960813492","0.605529956427015","70.4769723048942"
"RF_300_3_10","0.514981058999391","0.393182320601852","7.41764249594514","0.616756581336238","74.1419354646951"
"RF_300_3_15","0.519043065532531","0.400816751015189","7.55151365181267","0.628732158455198","73.8175942700515"
"RF_300_3_20","0.527804984243507","0.407757545927549","7.67343169404394","0.639619679886351","76.0640517797304"
"RF_300_4_5","0.508071359606646","0.380141840277778","7.17963884755291","0.596300925925926","70.2864695767196"
"RF_300_4_10","0.51710828806111","0.393896994874339","7.4231220656376","0.61787763901857","73.0374428224994"
"RF_300_4_15","0.520283010916216","0.39868148957524","7.50300813620559","0.625382728745474","72.141913989491"
"RF_300_4_20","0.521380726427013","0.403429654735001","7.58768891955014","0.632830830956864","73.2341654411266"
"RF_300_5_5","0.507003764185384","0.376371180555556","7.10961799355159","0.590386165577342","67.3103345734127"
"RF_300_5_10","0.517667778526637","0.390834478339947","7.3690635791643","0.613073691513643","70.5969728914714"
"RF_300_5_15","0.517839802469605","0.395153041807729","7.43167547722133","0.619847908718007","72.8644937369179"
"RF_300_5_20","0.522594167992039","0.400684355843728","7.53761333811405","0.628524479754868","72.0937136020882"
"RF_300_6_5","0.509980316394239","0.378139583333333","7.14312975363756","0.593160130718954","70.0296896494709"
"RF_300_6_10","0.515074947673492","0.387111908895503","7.29962912375598","0.607234366894906","68.129578239166"
"RF_300_6_15","0.520816846317972","0.398577493022024","7.49950111368322","0.625219596897293","71.8147999034833"
"RF_300_6_20","0.521368329606492","0.397906741790488","7.48271094039462","0.624167438102726","72.3517487999405"
"RF_300_7_5","0.507627646516338","0.375493055555556","7.09917772404101","0.58900871459695","69.1500184358466"
"RF_300_7_10","0.512953803795489","0.385004059193122","7.25818957024361","0.603927935989211","69.1155937775573"
"RF_300_7_15","0.517348084252604","0.392954177795584","7.40151638383112","0.616398710267583","70.3238760196621"
"RF_300_7_20","0.524877726657401","0.400882097510172","7.53875976667762","0.628834662761054","73.1305548337863"
"RF_300_8_5","0.505042180906307","0.373970486111111","7.06185939566799","0.58662037037037","67.3429075727513"
"RF_300_8_10","0.515580535230673","0.387213727678571","7.29858757125535","0.607394082633053","71.0820681709026"
"RF_300_8_15","0.515966572560346","0.390435510583167","7.35072494987032","0.612447859738301","69.3979645510051"
"RF_300_8_20","0.526067498709974","0.400644716620194","7.5290516462905","0.628462300580697","72.283195219703"
"RF_300_9_5","0.504585608192872","0.373479513888889","7.04274770585318","0.585850217864924","65.7197229662699"
"RF_300_9_10","0.516599134714296","0.388072623181217","7.32931710108812","0.608741369696027","70.8238954534361"
"RF_300_9_15","0.519044022155491","0.393035184404716","7.39412041314134","0.616525779458378","69.1834423021175"
"RF_300_9_20","0.520880139261119","0.39701902720683","7.4546308002011","0.622774944638164","69.5203470224986"
"RF_300_10_5","0.507618394422139","0.376529166666667","7.11759174520503","0.590633986928105","67.8358936838624"
"RF_300_10_10","0.515470565243803","0.38556357473545","7.27985183069177","0.604805607428156","70.8162070066453"
"RF_300_10_15","0.516011092338774","0.391392654394217","7.37045730573921","0.61394926179485","68.2400088454177"
"RF_300_10_20","0.521119364353664","0.394573811198808","7.4250172723934","0.618939311684404","70.5558570204443"
"RF_300_11_5","0.508457879418489","0.376396875","7.10196984540344","0.590426470588235","68.0879977678572"
"RF_300_11_10","0.513726107350291","0.382293989748677","7.21269351979797","0.599676846664592","68.2245151722726"
"RF_300_11_15","0.516229255189371","0.390631994336682","7.35566594850049","0.612756069547736","69.7827718147841"
"RF_300_11_20","0.520444384219333","0.394959632103944","7.42905781876428","0.619544520947364","69.6064953485446"
"RF_400_2_5","0.508970668160924","0.3842703125","7.26957335069445","0.602776960784314","74.5901497395834"
"RF_400_2_10","0.51596935602447","0.395717404513889","7.46866550925926","0.620733183551199","74.8260204199736"
"RF_400_2_15","0.52242516525934","0.403617037107857","7.60908989058333","0.633124764090757","75.0908786716445"
"RF_400_2_20","0.530829897748164","0.414033114117377","7.79352802571889","0.649463708419414","76.3943505845253"
"RF_400_3_5","0.510923330015029","0.38560234375","7.27880648561508","0.604866421568628","71.3348307911707"
"RF_400_3_10","0.514433255071668","0.392410277157738","7.40247017978198","0.615545532796452","74.0236368206137"
"RF_400_3_15","0.519868257731247","0.400971676218747","7.54873103190109","0.628975178382348","74.7730078684543"
"RF_400_3_20","0.526403548754828","0.407270246877836","7.66582623051857","0.638855289220135","74.796535863837"
"RF_400_4_5","0.507173434914214","0.380298828125","7.17478180803571","0.596547181372549","69.346154203869"
"RF_400_4_10","0.516495573746797","0.392006578621032","7.38869753135629","0.614912280189854","72.1609179554634"
"RF_400_4_15","0.519852457731634","0.398483526824738","7.49991801860817","0.625072198940765","71.4300273545486"
"RF_400_4_20","0.522060323495261","0.403819231258601","7.59683094453956","0.633441931386041","72.4824480367138"
"RF_400_5_5","0.507991338578257","0.377490234375","7.1298089812748","0.592141544117647","67.0926042286706"
"RF_400_5_10","0.518619511709199","0.391896577380952","7.38936659883137","0.614739729225024","70.7272773983725"
"RF_400_5_15","0.517358990319013","0.39471359506379","7.42318976221571","0.61915858049222","72.6912272647161"
"RF_400_5_20","0.52331240395782","0.40066760973415","7.5379035021832","0.628498211347686","73.2643481101946"
"RF_400_6_5","0.51107996546342","0.380052083333333","7.17659567212301","0.596160130718954","69.9634893353174"
"RF_400_6_10","0.51583135604932","0.388532893105159","7.32711314653899","0.609463361733582","69.3326262371268"
"RF_400_6_15","0.519188556921057","0.396522453804876","7.45591108454676","0.621996005968433","71.3496230905855"
"RF_400_6_20","0.521139227995186","0.397106324362477","7.46677101294299","0.622911881352904","72.1782313937703"
"RF_400_7_5","0.506613918468559","0.375462630208333","7.09144759114584","0.588960988562092","68.7236102430556"
